datetm,open,high,low,close,volume,amount
2020-06-19T09:55:00+0530,1674.25,1674.7,1673.05,1674.4,37355,0
2020-06-19T09:56:00+0530,1674.15,1675.8,1674.15,1675,24617,0
2020-06-19T09:57:00+0530,1675.05,1676.5,1674.5,1675.9,38911,0
2020-06-19T09:58:00+0530,1675.7,1676.65,1674.5,1675.95,36980,0
2020-06-19T09:59:00+0530,1675.95,1676.15,1675,1675.9,27112,0
2020-06-19T10:00:00+0530,1675.95,1676.95,1675.75,1676.15,31482,0
2020-06-19T10:01:00+0530,1676.7,1677.65,1676.1,1677.05,47976,0
2020-06-19T10:02:00+0530,1677.05,1679,1676.9,1678.55,49837,0
2020-06-19T10:03:00+0530,1679,1681.5,1678.6,1680,137147,0
2020-06-19T10:04:00+0530,1680.15,1683.35,1680.05,1682.6,151918,0
2020-06-19T10:05:00+0530,1682.15,1685,1682.1,1683.8,195129,0
2020-06-19T10:06:00+0530,1684.05,1684.1,1682.5,1682.5,75786,0
2020-06-19T10:07:00+0530,1682.7,1682.7,1680.35,1680.9,70884,0
2020-06-19T10:08:00+0530,1681,1684,1681,1683.6,59552,0
2020-06-19T10:09:00+0530,1683.55,1684,1683,1683.5,89948,0
2020-06-19T10:10:00+0530,1684,1687,1683.35,1686.7,219255,0
2020-06-19T10:11:00+0530,1687,1687.8,1685.5,1686,136702,0
2020-06-19T10:12:00+0530,1686.1,1686.5,1685.8,1686.3,58278,0
2020-06-19T10:13:00+0530,1686.35,1686.5,1684,1684.05,102685,0
2020-06-19T10:14:00+0530,1684.05,1685.45,1683.25,1685.2,41415,0
2020-06-19T10:15:00+0530,1686,1686.4,1684.2,1684.6,72571,0
2020-06-19T10:16:00+0530,1684.55,1685.1,1683,1683.45,46083,0
2020-06-19T10:17:00+0530,1683.45,1683.95,1683,1683.4,40776,0
2020-06-19T10:18:00+0530,1683.05,1683.75,1683.05,1683.25,28642,0
2020-06-19T10:19:00+0530,1683.2,1684.7,1683.05,1684.45,45046,0
2020-06-19T10:20:00+0530,1684.3,1684.85,1683.1,1683.5,31014,0
2020-06-19T10:21:00+0530,1683.05,1683.4,1681,1681.05,98676,0
2020-06-19T10:22:00+0530,1681.05,1681.95,1680.1,1681.95,61119,0
2020-06-19T10:23:00+0530,1682,1682,1680.75,1681,52948,0
2020-06-19T10:24:00+0530,1680.9,1681.5,1680.25,1681.35,35217,0
2020-06-19T10:25:00+0530,1681.25,1682,1680,1680.2,114219,0
2020-06-19T10:26:00+0530,1681,1681,1680.05,1680.5,45772,0
2020-06-19T10:27:00+0530,1680.55,1682.85,1680.15,1681,41454,0
2020-06-19T10:28:00+0530,1680.65,1684,1680.55,1683.85,40165,0
2020-06-19T10:29:00+0530,1684,1684,1683,1683.9,45582,0
